Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.022,32747.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,0.02,32764.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.022,33037.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,0.026,30908,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,0.022,32744.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,0.03,33708.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,0.02,32729.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,0.02,32432,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,0.02,32772,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,0.022,32428.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,0.014,31815.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,0.012,31503.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.016,30881.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,0.014,32178.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,0.01,30900,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,0.02,32428,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.02,32431.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.014,30915.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,0.014,29344.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,0.024,32427.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.02,30908.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,0.02,33051.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,0.02,32748.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-4.mltl,0.022,33366.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-5.mltl,0.018000000000000002,33370.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-6.mltl,0.022,32134.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-7.mltl,0.02,32729.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-8.mltl,0.016,32744.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-9.mltl,0.02,30908.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-10.mltl,0.02,30265.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-1.mltl,0.022,32420,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-2.mltl,0.016,30624,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-3.mltl,0.016,30920,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-4.mltl,0.014,31216.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-5.mltl,0.014,30279.2,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-6.mltl,0.02,32421.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-7.mltl,-1,-1,TO
