Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,0.022,32460.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.03,32405.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,0.022,32430.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,0.022,31521.6,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,0.024,32754.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.022,32453.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.02,32106.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,0.048,32432.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.02,31531.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.014,31208,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.016,32448,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.016,32430.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.02,32420.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.012,31197.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.02,32439.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.022,32424,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.016,31816.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.016,29967.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.02,31208.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.016,31488.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.016,32748,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.016,31494.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,0.02,33375.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,0.014,32137.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,0.02,32732,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,0.016,30601.6,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,0.02,33051.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-9.mltl,0.02,32772.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-10.mltl,0.016,30896.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-1.mltl,0.016,33387.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-2.mltl,0.012,31195.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-3.mltl,0.018000000000000002,32446.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-4.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-5.mltl,0.012,29340.8,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-6.mltl,0.03,32749.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-7.mltl,0.016,33069.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-8.mltl,0.016,29970.4,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-9.mltl,0.02,32729.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-10.mltl,0.018000000000000002,32441.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-1.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-2.mltl,0.02,32440,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-3.mltl,0.022,32747.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-4.mltl,0.012,31516.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-5.mltl,0.02,32439.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-6.mltl,0.022,32463.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-7.mltl,0.054,35218.4,sat
