Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,0.022,35334.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.02,35600.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,0.02,35613.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,0.022,34686.4,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,0.018,34055.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.02,35634.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.02,35629.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,0.042,37168,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,0.04,37168,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.02,35636.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.016,34351.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.02,35651.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.014,34008.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.02,35638.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.012,32535.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.02,35374.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.02,35637.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.012,34068.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.01,32459.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.02,35651.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.014,35284,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.02,35312.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.02,35651.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,0.022,35288.8,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,0.02,35033.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,0.02,35306.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,0.01,32184.8,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,0.014,34078.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-9.mltl,0.022,35012.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-10.mltl,0.014,35662.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-1.mltl,0.012,32493.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-2.mltl,0.01,32511.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-3.mltl,0.02,35284,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-4.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-5.mltl,0.01,32502.4,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-6.mltl,0.02,35636,sat
