Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,0.0,7816,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.0,7809.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,0.0,7814.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,0.0,7491.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,0.01,12416.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.012,10861.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.0,7824,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,0.0,7806.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,0.0,9348,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.0,7812,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.0,7810.4,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.0,7484.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.0,7822.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.0,7806.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.0,7790.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.0,9316,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.0,7797.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.0,7798.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.0,7791.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.0,7811.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.0,7832,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.0,7800.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.0,7477.6,sat
