Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Accumulator.smv.ltlf,0.396,37105.6,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AdditionGate.smv.ltlf,0.388,37630.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AntiSkidCommandFacility.smv.ltlf,0.398,37310.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/AntiskidShutoffValve.smv.ltlf,0.402,39208.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/BrakeActuator.smv.ltlf,0.378,36848,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/BrakeCommandFacility.smv.ltlf,0.396,37011.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicFuse.smv.ltlf,0.374,17616,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicPiston.smv.ltlf,0.374,17280.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/HydraulicPump.smv.ltlf,0.408,42828,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/MeterValve.smv.ltlf,0.398,37396.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/MonitorSystem.smv.ltlf,0.398,39207.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/out/extended_wbs_arch1.smv.ltlf,5.912,3897351.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/SensorPedalPosition.smv.ltlf,0.376,37612,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Sensor.smv.ltlf,0.376,36516.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/ShutoffValve.smv.ltlf,0.402,37982.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/wbs_arch1_simp.smv.ltlf,0.474,106479.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/wbs_arch1.smv.ltlf,6.986,2402696,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch1/Wheel.smv.ltlf,0.394,38558.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis/out/extended_wbs_arch2bis.smv.ltlf,9.783999999999999,5644023.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/AlternateCommandCalculator.smv.ltlf,0.392,37660.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/NormalCommandCalculator.smv.ltlf,0.386,37094.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/OrGate.smv.ltlf,0.392,37960.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/SelectorValve.smv.ltlf,0.386,37644,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/SwitchGate.smv.ltlf,0.392,37719.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/wbs_arch2bis_simp.smv.ltlf,1.266,856122.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2bis_with_normal_alternate_mutex/wbs_arch2bis.smv.ltlf,10.026,5317972.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2/out/extended_wbs_arch2.smv.ltlf,15.054,363192,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2_with_normal_alternate_mutex/wbs_arch2_simp.smv.ltlf,4.406,3372799.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch2_with_normal_alternate_mutex/wbs_arch2.smv.ltlf,20.39,643671.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch3/out/extended_wbs_arch3.smv.ltlf,14.446,1260481.6,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch3/wbs_arch3_simp.smv.ltlf,1.262,856192,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch3/wbs_arch3.smv.ltlf,20.298,634569.6,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch4/out/extended_wbs_arch4.smv.ltlf,24.498,648758.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch4/wbs_arch4_simp.smv.ltlf,14.53,218267.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/models/arch4/wbs_arch4.smv.ltlf,27.796,649709.6,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_1.smv.ltlf,0.44,120970.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_2.smv.ltlf,8.862,5264984,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_3.smv.ltlf,6.96,1915165.6,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_4.smv.ltlf,19.798,393602.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_5.smv.ltlf,2.328,1695571.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_6.smv.ltlf,42.446,709017.6,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/instance_7.smv.ltlf,62.808,1369815.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_1.smv.ltlf,0.506,216162.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_2.smv.ltlf,12.592,5319131.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_3.smv.ltlf,17.71,365556,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_4.smv.ltlf,3.386,3077221.6,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_5.smv.ltlf,4.862,3387535.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_6.smv.ltlf,25.404,694721.6,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/Boeing-WBS/scripts/instances/universal_7.smv.ltlf,3.93,3391248.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/oss/sample.smv.ltlf,0.376,43148,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/oss/universal_extended_val.smv.ltlf,0.348,36532.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/oss/universal_prop.smv.ltlf,-1,-1,Error 3
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/dummy/GCDR.smv.ltlf,0.362,38842.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/dummy/ProtocolPolicy.smv.ltlf,0.374,37428,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/ACDR_nonreceptive.smv.ltlf,0.338,17924.8,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/ACDR_simple.smv.ltlf,0.348,16684,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/ACDR.smv.ltlf,0.35,17006.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/CommunicationLayer.smv.ltlf,0.346,16994.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/fault_dynamics.smv.ltlf,0.342,16687.2,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/GCDR.smv.ltlf,0.346,16990.4,sat
/home/michele/mltlsat/Benchmarks/nasa-boeing/NASA-ATC/models/smv_files/inner_models/RouteManager.smv.ltlf,0.35,17289.6,sat
