Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.44,31884,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,7.676,34555.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.032,30627.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,0.056,34052,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,0.018000000000000002,30952.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,68.398,35866.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,0.04,30668,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,11.114,58556.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,0.014,30897.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,0.01,30636.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,0.01,30642.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.01,30947.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,0.012,30893.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,0.01,30878.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,0.012,30969.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.018,30969.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.012,30927.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,0.012,29362.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,0.02,30975.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.07400000000000001,30974.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,0.05,30636,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,12.716,33422.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-4.mltl,0.462,35219.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-5.mltl,0.01,30952,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-6.mltl,0.012,30955.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-7.mltl,0.01,30976,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-8.mltl,0.302,44762.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-9.mltl,0.01,30974.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-10.mltl,0.01,29044.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-1.mltl,0.294,35564,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-2.mltl,0.01,28447.2,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-3.mltl,0.01,30907.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-4.mltl,0.01,30903.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-5.mltl,0.01,29360.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-6.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-7.mltl,36.565999999999995,40152.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-8.mltl,0.018000000000000002,30958.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L20M100T100-9.mltl,0.01,30968,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-10.mltl,0.20600000000000002,32474.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-1.mltl,0.01,29375.2,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-2.mltl,0.01,30978.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-3.mltl,0.034,30976,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-4.mltl,15.988,28432,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-5.mltl,0.018,30945.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-6.mltl,0.01,30314.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-7.mltl,0.012,30573.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-8.mltl,0.622,39489.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L25M100T100-9.mltl,0.21,38654.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-10.mltl,0.01,30956.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-1.mltl,0.01,29340.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-2.mltl,0.012,30928,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-3.mltl,0.292,29042.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-4.mltl,0.04,30893.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-5.mltl,0.012,29382.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-6.mltl,0.01,29057.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-7.mltl,0.012,29390.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-8.mltl,0.014,30314.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L30M100T100-9.mltl,0.108,36782.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-10.mltl,0.03,30950.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-1.mltl,5.23,49391.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-2.mltl,0.01,28736.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-3.mltl,0.01,30583.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-4.mltl,0.93,44807.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-5.mltl,0.042,30966.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-6.mltl,66.012,45683.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-7.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-8.mltl,0.03,28764.8,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L35M100T100-9.mltl,0.01,30960,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-10.mltl,0.02,30938.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-1.mltl,0.01,30960.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-2.mltl,0.052000000000000005,30920,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-3.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-4.mltl,0.01,30962.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-5.mltl,0.17,32165.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-6.mltl,0.65,41396.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-7.mltl,0.01,30890.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-8.mltl,0.01,30942.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L40M100T100-9.mltl,0.64,32442.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-10.mltl,2.986,42623.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-1.mltl,0.076,31798.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-2.mltl,0.02,30984,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-3.mltl,0.1,38562.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-4.mltl,0.012,30972.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-5.mltl,0.046,29330.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-6.mltl,1.532,30288.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-7.mltl,0.1,38644.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-8.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L45M100T100-9.mltl,0.644,33364,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-10.mltl,0.068,28764,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-1.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-2.mltl,1.256,32465.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-3.mltl,0.012,30976.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-4.mltl,0.01,30911.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-5.mltl,5.448,34025.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-6.mltl,0.15,33966.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-7.mltl,61.272,33406.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-8.mltl,0.02,30952.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L50M100T100-9.mltl,16.032,31808.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L55M100T100-10.mltl,0.084,30970.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L55M100T100-1.mltl,1.68,35535.2,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L55M100T100-2.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L55M100T100-3.mltl,112.394,38945.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L55M100T100-4.mltl,1.766,30651.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L55M100T100-5.mltl,0.15,34049.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L55M100T100-6.mltl,17.018,30020,sat
