Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,62.402,35848,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,24.374,31857.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,6.7540000000000004,62888,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,74.60600000000001,42628.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,5.462,49065.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.02,30628,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.016,30927.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.012,29403.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.01,30928,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.01,30920,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.012,30884.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.01,30925.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.022,30932.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.01,30908.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.01,30912.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.01,29080.8,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.022,30607.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.01,30974.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.012,30916.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.01,30893.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,0.07,35488,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,0.014,30936.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,0.01,30906.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,0.01,29366.4,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,0.02,30892.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-9.mltl,0.108,33661.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-10.mltl,0.016,30983.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-1.mltl,0.01,29636.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-2.mltl,0.01,29392,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-3.mltl,0.07200000000000001,30956.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-4.mltl,79.626,43775.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-5.mltl,0.01,29064.8,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-6.mltl,0.012,30653.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-7.mltl,0.02,30935.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-8.mltl,0.01,29357.6,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-9.mltl,0.238,44786.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-10.mltl,0.01,30029.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-1.mltl,0.14800000000000002,35172.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-2.mltl,0.04,33975.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-3.mltl,18.465999999999998,39522.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-4.mltl,0.012,30977.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-5.mltl,0.6900000000000001,30643.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-6.mltl,3.072,34037.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-7.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-8.mltl,0.012,30953.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L25M100T100-9.mltl,0.356,32746.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-10.mltl,0.862,35577.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-1.mltl,0.012,30657.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-2.mltl,1.718,67736.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-3.mltl,20.626,55532,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-4.mltl,0.01,30908,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-5.mltl,0.572,31866.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-6.mltl,0.01,29349.6,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-7.mltl,0.01,30957.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-8.mltl,0.014,30940.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L30M100T100-9.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-10.mltl,1.572,31882.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-1.mltl,0.01,30899.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-2.mltl,0.09,30893.6,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-3.mltl,0.012,29368.8,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-4.mltl,14.744,30576.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-5.mltl,0.01,30921.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-6.mltl,0.196,30597.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-7.mltl,0.01,30986.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-8.mltl,0.054,30921.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L35M100T100-9.mltl,63.108,44460.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-10.mltl,0.01,30947.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-1.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-2.mltl,0.076,30628.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-3.mltl,0.022,30943.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-4.mltl,0.04,32448,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-5.mltl,0.06,32426.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-6.mltl,1.212,38628,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-7.mltl,36.158,46291.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L40M100T100-8.mltl,0.124,32482.4,sat
