Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-10.mltl,0.512,106087.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-1.mltl,0.494,105168.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-2.mltl,0.5,104518.4,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-3.mltl,0.5,104841.6,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-4.mltl,0.5,104869.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-5.mltl,0.556,140491.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-6.mltl,0.552,152141.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-7.mltl,0.518,105457.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-8.mltl,0.506,104851.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L100M100T100-9.mltl,0.5,106391.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-10.mltl,0.5,107889.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-1.mltl,0.502,104864,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-2.mltl,0.496,104228.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-3.mltl,0.504,106400,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-4.mltl,0.498,106388.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-5.mltl,0.488,104816,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-6.mltl,0.498,106388.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-7.mltl,0.502,106369.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-8.mltl,0.49,104867.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L10M100T100-9.mltl,0.498,104838.4,unsat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-10.mltl,0.81,213000.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-1.mltl,0.498,106352.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-2.mltl,0.506,107948,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-3.mltl,0.508,109499.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-4.mltl,0.498,105733.6,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-5.mltl,0.498,104820.8,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-6.mltl,0.492,107871.2,sat
/home/michele/mltlsat/Benchmarks/random/P0.333333333333333N1L15M100T100-7.mltl,0.502,104508.8,sat
