Name,Time (s),Total memory (KiB),Result
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-10.mltl,0.454,104534.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-1.mltl,0.462,104851.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-2.mltl,0.454,106382.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-3.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-4.mltl,0.466,104231.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-5.mltl,0.774,150039.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-6.mltl,0.486,130332,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-7.mltl,0.452,104856.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-8.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L100M100T100-9.mltl,-1,-1,TO
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-10.mltl,0.446,104888.8,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-1.mltl,0.444,106392.8,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-2.mltl,0.45,104844,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-3.mltl,0.446,104536,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-4.mltl,0.59,147522.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-5.mltl,0.458,104821.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-6.mltl,0.472,111009.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-7.mltl,0.46,106333.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-8.mltl,0.46,104247.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L10M100T100-9.mltl,0.464,104844,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-10.mltl,0.456,104799.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-1.mltl,0.462,104831.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-2.mltl,0.454,104873.6,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-3.mltl,0.456,104871.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-4.mltl,0.466,104860,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-5.mltl,0.462,106399.2,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-6.mltl,0.46,104830.4,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-7.mltl,0.46,104523.2,unsat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-8.mltl,0.47,112484,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L15M100T100-9.mltl,0.454,104840,sat
/home/michele/mltlsat/Benchmarks/random0/P0.333333333333333N1L20M100T100-10.mltl,0.464,106412.8,sat
